1,SERV-32,SERVICE - STOLEN AUTO RECOVERY OTHER JURISDICTION,2023-06-26,1057,5700 GENERAL WASHINGTON DR,ALEXANDRIA,VA,22312
1,SERV-1,SERVICE - POLICE SERVICE,2023-06-26,0630,12000 SUNSET HILLS RD,RESTON,VA,20190
1,LARC-23-8,LARCENY - THEFT OF BICYCLES,2023-06-26,1155,3300 SOUTHGATE DR,ALEXANDRIA,VA,22306
1,SERV-33,SERVICE - NON DMV REPORTABLE CRASH,2023-06-26,1113,3200 KINROSS CIR,HERNDON,VA,20171
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2023-06-26,1045,5900 TRINITY PKWY,CENTREVILLE,VA,20120
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2023-06-26,1231,7900 RICHMOND HWY,ALEXANDRIA,VA,22306
2,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2023-06-26,1231,7900 RICHMOND HWY,ALEXANDRIA,VA,22306
1,FRAUD-26A-1,FRAUD - FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,2023-06-26,1100,6500 OLD COACH CT,ALEXANDRIA,VA,22315
1,WARR-90Z-1,ORDER - VIOLATE EPO/PO/PPO,2023-06-26,1157,4100 CHAIN BRIDGE RD,FAIRFAX,VA,22030
1,WARR-90Z-4,WARRANT - WARRANT SERVICE,2023-06-26,1224,6200 RICHMOND HWY,ALEXANDRIA,VA,22303
1,ANML-3,ANIMAL - SERVICE - DOMESTIC,2023-06-26,1158,4200 NEWPORT DR,CHANTILLY,VA,20151
1,SUSP-1,SUSPICIOUS - EVENT,2023-06-26,1029,7400 MARC DR,FALLS CHURCH,VA,22042
1,FRAUD-26A-1,FRAUD - FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,2023-06-26,1303,6600 FRONTIER DR,SPRINGFIELD,VA,22150
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2023-06-26,1309,4700 MINOR CIR,ALEXANDRIA,VA,22312
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2023-06-26,1233,7900 JANNA LEE AVE,ALEXANDRIA,VA,22306
1,WARR-90Z-1,ORDER - VIOLATE EPO/PO/PPO,2023-06-26,1223,5800 SEMINARY RD,FALLS CHURCH,VA,22041
1,LARC-23-9,LARCENY -  ALL OTHER LARCENY,2023-06-26,1308,6000 FARRINGTON AVE,ALEXANDRIA,VA,22304
1,LARC-23-3,LARCENY - SHOPLIFTING,2023-06-26,1325,6600 SPRINGFIELD MALL,SPRINGFIELD,VA,22150
